index,type,pts,size,size_kb
0,I,0,9223,9.01
1,B,1001,8438,8.24
2,B,2002,7222,7.05
3,B,3003,289637,282.85
4,P,4004,429556,419.49
5,P,5005,19740,19.28
6,B,6006,9222,9.01
7,B,7007,25542,24.94
8,B,8008,424611,414.66
9,P,9009,20075,19.6
10,B,10010,9645,9.42
11,B,11011,21813,21.3
12,B,12012,340126,332.15
13,P,13013,12181,11.9
14,B,14014,8628,8.43
15,B,15015,20605,20.12
16,B,16016,233529,228.06
17,P,17017,7489,7.31
18,B,18018,7477,7.3
19,B,19019,303743,296.62
20,P,20020,7383,7.21
21,B,21021,10571,10.32
22,B,22022,10353,10.11
23,B,23023,262703,256.55
24,P,24024,8903,8.69
25,B,25025,1088773,1063.25
26,P,26026,64672,63.16
27,B,27027,9171,8.96
28,B,28028,50095,48.92
29,B,29029,37012,36.14
30,P,30030,3860,3.77
31,B,31031,212083,207.11
32,P,32032,12277,11.99
33,B,33033,11688,11.41
34,B,34034,7697,7.52
35,B,35035,425500,415.53
36,P,36036,11282,11.02
37,B,37037,13299,12.99
38,B,38038,3886,3.79
39,B,39039,191529,187.04
40,P,40040,277410,270.91
41,P,41041,5469,5.34
42,B,42042,6302,6.15
43,B,43043,7238,7.07
44,B,44044,263476,257.3
45,P,45045,5562,5.43
46,B,46046,6940,6.78
47,B,47047,7253,7.08
48,B,48048,278665,272.13
49,P,49049,5901,5.76
50,B,50050,7455,7.28
51,B,51051,6413,6.26
52,B,52052,174495,170.41
53,P,53053,7604,7.43
54,B,54054,3913,3.82
55,B,55055,887157,866.36
56,P,56056,40594,39.64
57,B,57057,38237,37.34
58,B,58058,6139,6.0
59,B,59059,60233,58.82
60,P,60060,4668,4.56
61,B,61061,206646,201.8
62,P,62062,6020,5.88
63,B,63063,4322,4.22
64,B,64064,6859,6.7
65,B,65065,335852,327.98
66,P,66066,4746,4.63
67,B,67067,6870,6.71
68,B,68068,7517,7.34
69,B,69069,294823,287.91
70,P,70070,5668,5.54
71,B,71071,8931,8.72
72,B,72072,8493,8.29
73,B,73073,284368,277.7
74,P,74074,5206,5.08
75,B,75075,6441,6.29
76,B,76076,8568,8.37
77,B,77077,270564,264.22
78,P,78078,6300,6.15
79,B,79079,7168,7.0
80,B,80080,7672,7.49
81,B,81081,225667,220.38
82,P,82082,10325,10.08
83,B,83083,4837,4.72
84,B,84084,910889,889.54
85,P,85085,49510,48.35
86,B,86086,44377,43.34
87,B,87087,12259,11.97
88,B,88088,1244485,1215.32
89,P,89089,196140,191.54
90,I,90090,13834,13.51
